type,game_id,team_home,team_away,schedule_week,schedule_season,state_of_game,game_url,home_score,away_score
reg,2011100208,KC,MIN,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100208/2011100208_gtd.json,22,17
reg,2011100207,JAC,NO,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100207/2011100207_gtd.json,10,23
reg,2011100206,STL,WAS,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100206/2011100206_gtd.json,10,17
reg,2011100205,CHI,CAR,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100205/2011100205_gtd.json,34,29
reg,2011100204,PHI,SF,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100204/2011100204_gtd.json,23,24
reg,2011100203,DAL,DET,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100203/2011100203_gtd.json,30,34
reg,2011100202,HOU,PIT,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100202/2011100202_gtd.json,17,10
reg,2011100210,SEA,ATL,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100210/2011100210_gtd.json,28,30
reg,2011100209,ARI,NYG,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100209/2011100209_gtd.json,27,31
reg,2011100213,SD,MIA,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100213/2011100213_gtd.json,26,16
reg,2011100212,OAK,NE,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100212/2011100212_gtd.json,19,31
reg,2011100211,GB,DEN,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100211/2011100211_gtd.json,49,23
reg,2011100214,BAL,NYJ,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100214/2011100214_gtd.json,34,17
reg,2011100300,TB,IND,4,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100300/2011100300_gtd.json,24,17
reg,2011100900,PIT,TEN,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100900/2011100900_gtd.json,38,17
reg,2011100901,HOU,OAK,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100901/2011100901_gtd.json,20,25
reg,2011100902,IND,KC,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100902/2011100902_gtd.json,24,28
reg,2011100903,JAC,CIN,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100903/2011100903_gtd.json,20,30
reg,2011100904,NYG,SEA,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100904/2011100904_gtd.json,25,36
reg,2011100905,MIN,ARI,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100905/2011100905_gtd.json,34,10
reg,2011100906,CAR,NO,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100906/2011100906_gtd.json,27,30
reg,2011100907,BUF,PHI,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100907/2011100907_gtd.json,31,24
reg,2011100908,SF,TB,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100908/2011100908_gtd.json,48,3
reg,2011100909,NE,NYJ,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100909/2011100909_gtd.json,30,21
reg,2011100910,DEN,SD,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100910/2011100910_gtd.json,24,29
reg,2011100911,ATL,GB,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011100911/2011100911_gtd.json,14,25
reg,2011101000,DET,CHI,5,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101000/2011101000_gtd.json,24,13
reg,2011101600,NYG,BUF,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101600/2011101600_gtd.json,27,24
reg,2011101601,CIN,IND,6,2011,POST,http://www.nfl.com/liveupdate/game-center/2011101601/2011101601_gtd.json,27,17
