schedule_season,team_home,off_rate,def_rate,overall_rate,sched_strength,first_downs,first_downs_from_penalties,fumbles,interceptions,margin_of_victory,pass_attempts,pass_completions,pass_first_downs,pass_touchdowns,pass_yards,penalties,plays,points_against,points_contributed_by_offense,points_difference,points_for,rank,rush_attempts,rush_first_downs,rush_touchdowns,rush_yards,turnovers,yards,yards_from_penalties,yards_per_play
2013,WAS,-3.9,-5.4,-9.3,-0.3,329,19,15,19,-9.0,611,355,198,20,3751,99,1107,478,-42.64,-144,334,23,453,112,14,2164,34,5915,802,5.3
2013,RAI,-3.8,-4.2,-8.0,0.2,275,17,11,20,-8.2,519,298,168,17,3340,116,1000,453,-52.12,-131,322,24,437,90,16,2000,31,5340,912,5.3
2013,RAV,-5.0,1.4,-3.5,-1.5,295,38,6,23,-2.0,619,363,189,19,3590,112,1090,352,-95.39,-32,320,25,423,68,7,1328,29,4918,942,4.5
2013,MIA,-2.9,2.1,-0.8,0.3,278,12,7,19,-1.1,594,357,205,24,3567,70,1001,335,-18.67,-18,317,26,349,61,8,1440,26,5007,598,5.0
2013,CLE,-4.8,-2.9,-7.7,-1.6,301,24,9,20,-6.1,681,379,200,26,4040,104,1078,406,-83.4,-98,308,27,348,77,4,1383,29,5423,920,5.0
2013,NYG,-6.2,0.8,-5.4,0.2,280,27,15,29,-5.6,567,325,176,18,3588,91,988,383,-106.96,-89,294,28,381,77,11,1332,44,4920,786,5.0
2013,NYJ,-4.7,-1.4,-6.1,0.0,280,21,7,22,-6.1,480,266,154,13,2932,108,1020,387,-94.9,-97,290,29,493,105,12,2158,29,5090,837,5.0
2013,TAM,-2.9,0.3,-2.7,3.6,269,37,9,12,-6.3,514,291,157,22,2820,121,981,389,-79.47,-101,288,30,420,75,6,1612,21,4432,1136,4.5
2013,HTX,-5.0,-2.6,-7.6,1.9,307,19,9,22,-9.5,633,371,198,19,3813,112,1089,428,-85.06,-152,276,31,414,90,7,1743,31,5556,1138,5.1
2013,JAX,-7.1,-4.0,-11.1,1.5,271,24,6,21,-12.6,592,349,176,16,3441,96,1020,449,-130.11,-202,247,32,378,71,7,1260,27,4701,797,4.6
2014,GNB,7.9,0.4,8.3,-0.3,356,30,7,6,8.6,536,349,222,38,4261,92,1001,348,172.28,138,486,1,435,104,14,1917,13,6178,775,6.2
2014,DEN,9.2,0.4,9.6,1.6,360,35,5,15,8.0,607,399,227,40,4661,120,1067,354,140.4,128,482,2,443,98,15,1785,20,6446,1045,6.0
2014,PHI,6.6,-2.7,3.9,-0.7,356,29,15,21,4.6,621,384,218,27,4356,115,1127,400,35.17,74,474,3,474,109,16,1992,36,6348,995,5.6
2014,NWE,7.5,3.5,10.9,1.3,361,37,4,9,9.7,609,392,228,34,4121,120,1073,313,181.12,155,468,4,438,96,13,1727,13,5848,1080,5.5
2014,DAL,5.3,0.1,5.4,-1.8,342,31,14,11,7.2,476,328,205,37,3784,105,1014,352,174.23,115,467,5,508,106,16,2354,25,6138,839,6.1
2014,CLT,5.2,-0.8,4.4,-1.1,371,40,15,16,5.6,661,410,251,42,4894,105,1105,369,83.73,89,458,6,415,80,9,1612,31,6506,848,5.9
2014,PIT,4.4,-2.1,2.2,-2.0,379,38,11,10,4.3,612,411,243,33,4825,103,1068,368,156.58,68,436,7,423,98,10,1752,21,6577,834,6.2
2014,RAV,1.8,2.8,4.6,-2.1,345,38,8,12,6.7,554,344,194,27,3819,111,1021,302,135.24,107,409,8,448,113,16,2019,20,5838,870,5.7
2014,NOR,1.9,-4.8,-2.9,-1.5,395,36,13,17,-1.4,659,456,258,33,4764,80,1095,424,151.45,-23,401,9,406,101,16,1818,30,6582,670,6.0
2014,SEA,2.4,7.1,9.5,0.8,328,24,7,7,8.8,454,287,160,20,3250,130,1021,254,137.18,140,394,10,525,144,20,2762,14,6012,1009,5.9
2014,MIA,2.9,-0.4,2.6,1.6,361,36,11,12,0.9,595,394,226,27,3729,81,1040,373,74.78,15,388,11,399,99,12,1872,23,5601,635,5.4
2014,ATL,0.6,-4.4,-3.8,-1.6,330,22,8,15,-2.3,632,418,233,28,4553,97,1035,417,61.55,-36,381,12,372,75,11,1498,23,6051,840,5.8
2014,NYG,0.8,-2.5,-1.7,-0.4,336,35,14,14,-1.3,607,383,218,30,4272,101,1086,400,40.61,-20,380,13,449,83,13,1603,28,5875,896,5.4
2014,HTX,-0.8,2.5,1.7,-2.3,313,34,9,13,4.1,485,295,171,22,3352,94,1062,307,13.01,65,372,14,551,108,12,2161,22,5513,834,5.2
2014,CIN,-0.5,1.3,0.7,-0.6,313,27,9,17,1.3,503,323,164,20,3421,102,1018,344,13.84,21,365,15,492,122,19,2147,26,5568,812,5.5
2014,KAN,0.0,5.7,5.7,1.2,309,33,11,6,4.5,493,320,184,18,3182,88,962,281,52.61,72,353,16,420,92,18,1918,17,5100,681,5.3
2014,SDG,0.7,1.2,1.9,1.9,326,37,5,18,0.0,574,380,214,31,4098,111,1009,348,64.94,0,348,17,398,75,6,1367,23,5465,967,5.4
2014,BUF,-0.4,5.3,4.9,1.6,273,22,10,13,3.4,579,363,186,23,3614,124,1020,289,-43.33,54,343,18,402,65,7,1482,23,5096,1031,5.0
2014,CAR,-2.4,-0.7,-3.1,-0.9,347,31,11,12,-2.2,545,327,199,23,3511,83,1060,374,44.08,-35,339,19,473,117,10,2036,23,5547,756,5.2
2014,MIN,-2.8,1.1,-1.7,-0.5,288,27,2,18,-1.1,517,322,171,17,3244,100,981,343,6.55,-18,325,20,413,90,12,1804,20,5048,836,5.1
2014,RAM,-1.2,0.4,-0.8,1.0,288,20,11,16,-1.9,515,327,189,20,3400,123,957,354,-44.13,-30,324,21,395,79,11,1635,27,5035,1139,5.3
2014,DET,-3.2,5.2,2.1,-0.4,310,28,8,12,2.4,604,365,210,22,4030,118,1045,282,50.59,39,321,22,396,72,11,1422,20,5452,989,5.2
2014,CHI,-2.0,-4.7,-6.7,1.0,322,37,10,19,-7.7,609,396,194,30,3792,113,1005,442,-11.8,-123,319,23,355,91,8,1441,29,5233,997,5.2
2014,CRD,-2.4,4.4,2.0,1.3,302,44,5,12,0.7,568,320,191,21,3808,91,993,299,-9.8,11,310,24,397,67,6,1308,17,5116,707,5.2
2014,SFO,-3.0,2.1,-1.0,1.2,303,34,12,10,-2.1,487,292,165,20,3063,116,1009,340,13.79,-34,306,25,470,104,10,2176,22,5239,937,5.2
2014,WAS,-4.0,-4.7,-8.7,-0.2,318,44,13,18,-8.6,547,364,186,18,4047,120,1006,438,14.06,-137,301,26,401,88,15,1691,31,5738,1130,5.7
2014,CLE,-4.8,0.9,-3.9,-1.5,294,27,7,16,-2.4,502,274,179,12,3465,116,1010,337,-21.15,-38,299,27,477,88,17,1728,23,5193,932,5.1
2014,NYJ,-4.0,-1.0,-5.0,2.3,289,23,9,15,-7.4,498,287,154,16,2946,109,1052,401,-44.92,-118,283,28,507,112,11,2280,24,5226,932,5.0
2014,TAM,-6.5,-3.3,-9.8,-1.5,263,29,13,20,-8.3,531,301,162,21,3297,118,936,410,-67.27,-133,277,29,353,72,7,1375,33,4672,939,5.0
2014,OTI,-7.0,-4.9,-11.8,-0.3,258,24,10,16,-11.5,513,299,159,20,3412,111,919,438,-88.85,-184,254,30,356,75,6,1447,26,4859,961,5.3
2014,RAI,-4.3,-4.7,-9.0,3.4,248,19,13,16,-12.4,629,365,173,22,3275,116,994,452,-139.47,-199,253,31,337,56,4,1240,29,4515,939,4.5
2014,JAX,-7.8,-2.7,-10.5,-0.3,271,31,8,18,-10.2,557,325,154,15,3001,73,988,412,-120.53,-163,249,32,360,86,9,1633,26,4634,573,4.7
2015,CAR,6.0,2.1,8.1,-3.9,357,24,9,10,12.0,501,300,197,35,3589,103,1060,308,115.28,192,500,1,526,136,19,2282,19,5871,887,5.5
2015,CRD,9.0,3.4,12.3,1.3,373,44,11,13,11.0,562,353,237,35,4616,94,1041,313,148.43,176,489,2,452,92,16,1917,24,6533,758,6.3
2015,NWE,5.3,1.7,7.0,-2.4,348,31,7,7,9.4,629,404,230,36,4587,96,1050,315,138.04,150,465,3,383,87,14,1404,14,5991,860,5.7
2015,SEA,5.4,6.0,11.3,2.2,335,17,8,8,9.1,489,333,190,34,3790,117,1035,277,129.31,146,423,4,500,128,10,2268,16,6058,1007,5.9
2015,PIT,5.1,3.6,8.7,2.2,331,33,7,21,6.5,590,391,207,26,4603,94,1011,319,22.98,104,423,5,388,91,16,1724,28,6327,868,6.3
2015,NYG,2.5,-6.1,-3.6,-2.2,331,46,7,14,-1.4,623,392,208,36,4347,102,1053,442,31.24,-22,420,6,403,77,5,1609,21,5956,777,5.7
2015,CIN,4.8,5.8,10.6,1.9,324,34,8,9,8.8,505,334,191,31,3923,111,1004,279,82.59,140,419,7,467,99,18,1805,17,5728,917,5.7
2015,NOR,1.1,-7.6,-6.6,-2.3,381,36,8,12,-4.3,667,460,247,32,4970,130,1096,476,146.68,-68,408,8,397,98,16,1491,20,6461,1112,5.9
2015,KAN,3.7,5.3,9.0,1.6,303,32,8,7,7.4,473,310,155,20,3255,104,955,287,41.53,118,405,9,436,116,19,2044,15,5299,878,5.5
2015,WAS,-0.2,-1.8,-1.9,-2.5,317,28,11,11,0.6,555,386,208,30,4095,105,1011,379,54.93,9,388,10,429,81,9,1566,22,5661,828,5.6
2015,NYJ,-0.5,2.0,1.5,-3.0,329,20,8,16,4.6,604,362,210,33,4057,96,1074,314,72.26,73,387,11,448,99,11,1868,24,5925,787,5.5
2015,BUF,0.3,-0.2,0.0,-1.2,297,20,10,9,1.3,465,295,155,23,3343,143,1016,359,37.71,20,379,12,509,122,19,2432,19,5775,1249,5.7
2015,PHI,-0.6,-4.0,-4.6,-1.3,339,36,13,18,-3.3,623,405,193,23,4087,104,1102,430,1.07,-53,377,13,442,110,15,1743,31,5830,819,5.3
2015,JAX,-0.7,-6.9,-7.5,-3.0,313,29,10,18,-4.5,607,355,215,35,4108,105,1012,448,-28.13,-72,376,14,354,69,5,1473,28,5581,880,5.5
2015,GNB,2.0,3.3,5.3,2.5,317,44,9,8,2.8,573,348,173,31,3503,105,1056,323,40.61,45,368,15,436,100,8,1850,17,5353,906,5.1
2015,MIN,1.1,4.7,5.8,1.9,297,31,8,9,3.9,454,294,153,14,2928,88,973,302,29.39,63,365,16,474,113,18,2211,17,5139,797,5.3
2015,RAI,1.4,-1.6,-0.2,2.3,300,33,10,14,-2.5,605,373,193,34,3879,139,1008,399,4.72,-40,359,17,370,74,7,1457,24,5336,1102,5.3
2015,DET,1.0,-1.3,-0.2,2.4,337,30,10,14,-2.6,632,420,236,33,4212,104,1030,400,31.8,-42,358,18,354,71,7,1335,24,5547,930,5.4
2015,DEN,0.3,5.5,5.8,2.1,314,28,8,23,3.7,606,368,201,19,3970,115,1056,296,-50.98,59,355,19,411,85,13,1718,31,5688,1063,5.4
2015,TAM,-3.5,-4.2,-7.7,-3.0,336,36,13,15,-4.7,535,312,201,22,3852,143,1017,417,40.62,-75,342,20,455,99,12,2162,28,6014,1195,5.9
2015,ATL,-4.0,0.3,-3.8,-3.4,359,34,13,17,-0.4,621,410,230,21,4379,100,1073,345,52.68,-6,339,21,420,95,13,1606,30,5985,969,5.6
2015,HTX,-3.3,2.6,-0.8,-2.4,335,35,8,12,1.6,619,358,210,29,3833,107,1127,313,-38.02,26,339,22,472,90,7,1731,20,5564,910,4.9
2015,CHI,-0.1,-1.2,-1.3,2.6,312,27,9,12,-3.9,523,334,177,21,3663,99,1025,397,8.41,-62,335,23,468,108,13,1854,21,5517,909,5.4
2015,CLT,-3.1,-3.6,-6.7,-2.0,311,39,11,19,-4.7,619,355,195,26,3704,108,1052,408,-51.38,-75,333,24,396,77,6,1438,30,5142,931,4.9
